container_restart_count,deployment_available_replicas,deployment_replicas,hpa_current_cpu_utilization,hpa_current_replicas,hpa_desired_replicas,hpa_efficiency,hpa_target_cpu_utilization,http_error_rate,http_request_rate,http_response_time_mean,http_response_time_p50,http_response_time_p90,http_response_time_p99,http_response_time_std,http_success_rate,label,network_drop_in,network_drop_out,network_errors_in,network_errors_out,network_in,network_out,network_packets_in,network_packets_out,pod_count,pod_count_mean_3,pod_cpu_usage_cores,pod_cpu_usage_cores_mean_3,pod_cpu_usage_cores_std_3,pod_failed_count,pod_memory_usage_bytes,pod_pending_count,pod_ready_count,pod_restart_count
0,1,1,0,5,5,1.0,50,0.0,66.89010659539044,0.014949893951416,0.014833927154541,0.0156146526336669,0.0160769367218017,0.0006526568899009,1.0,NORMAL,0,0,0,0,20956988623,2894082029,16273623,5879234,5,5.0,0.005,0.0056666666666666,0.0005773502691917,0,25165824,0,5,0
0,1,1,0,5,5,1.0,50,0.0,88.30931707358155,0.0113238334655761,0.0103440284729003,0.014131212234497,0.0160706424713134,0.0025503264396224,1.0,NORMAL,0,0,0,0,20956992055,2894093503,16273676,5879329,5,5.0,0.006,0.0056666666666666,0.0005773502691917,0,25165824,0,5,0
0,1,1,0,5,5,1.0,50,0.0,74.23730853507874,0.0134703159332275,0.0119457244873046,0.0191948413848876,0.0220688819885253,0.0048470585687409,1.0,NORMAL,0,0,0,0,20956995460,2894104166,16273728,5879419,5,5.0,0.006,0.0056666666666666,0.0005773502691917,0,25165824,0,5,0
0,1,1,0,5,5,1.0,50,0.0,92.03121023021494,0.0108658790588378,0.0108029842376708,0.0118966102600097,0.012497854232788,0.0009562185491224,1.0,NORMAL,0,0,0,0,20956998592,2894114550,16273776,5879505,5,5.0,0.005,0.0056666666666666,0.0005773502691917,0,25165824,0,5,0
0,1,1,0,5,5,1.0,50,0.0,68.89597035421197,0.0145146369934082,0.0141491889953613,0.0169681549072265,0.017815818786621,0.0020985579301039,1.0,NORMAL,0,0,0,0,20957001784,2894124898,16273825,5879591,5,5.0,0.005,0.0053333333333333,0.0005773502691917,0,25165824,0,5,0
0,1,1,0,5,5,1.0,50,0.0,60.58716465687096,0.0165051460266113,0.0134840011596679,0.0235745429992675,0.0261990737915039,0.005722564684874,1.0,NORMAL,0,0,0,0,20957005096,2894136210,16273876,5879684,5,5.0,0.005,0.005,0.0,0,25165824,0,5,0
0,1,1,0,5,5,1.0,50,0.0,62.74971649476824,0.0159363269805908,0.011791706085205,0.0237342357635498,0.0263204002380371,0.0062407398426375,1.0,NORMAL,0,0,0,0,20957009461,2894148035,16273933,5879783,5,5.0,0.005,0.005,0.0,0,26214400,0,5,0
0,1,1,0,5,5,1.0,50,0.0,74.93602135361022,0.0133447170257568,0.0121793746948242,0.0169501781463623,0.0197007942199707,0.003373379649367,1.0,NORMAL,0,0,0,0,20957012566,2894158422,16273980,5879869,5,5.0,0.005,0.005,0.0,0,26214400,0,5,0
0,1,1,0,5,5,1.0,50,0.0,9.96801625186976,0.1003208637237548,0.0970704555511474,0.1390816211700439,0.1391954326629638,0.039203268829881,1.0,ATTACK,0,0,0,0,20957016142,2894170062,16274034,5879965,5,5.0,0.005,0.005,0.0,0,26214400,0,5,0
0,1,1,0,5,2,2.5,50,0.0,5.877040596281619,0.1701536655426025,0.1725506782531738,0.2287872791290283,0.2466674423217773,0.0541591580176479,1.0,ATTACK,0,0,0,0,20957019904,2894183396,16274092,5880068,5,5.0,0.005,0.005,0.0,0,26214400,0,5,0
0,1,1,0,2,2,1.0,50,0.0,5.150542364131443,0.1941543102264404,0.1853420734405517,0.2549441814422607,0.2805074787139892,0.0526359932559457,1.0,ATTACK,0,0,0,0,20957024020,2894197498,16274155,5880176,5,5.0,0.005,0.005,0.0,0,26214400,0,5,0
0,1,1,0,2,4,0.5,50,0.0,5.845552030143804,0.1710702419281005,0.1715428829193115,0.1917312145233154,0.1981333255767822,0.0216618520059828,1.0,ATTACK,0,0,0,0,20957044257,2894216878,16274245,5880306,4,4.666666666666667,0.058,0.0226666666666666,0.0305995642670501,0,10485760,2,2,0
0,1,1,0,4,5,0.8,50,0.0,5.110419211639117,0.1956786632537842,0.1761438846588134,0.3064180374145507,0.3213846778869629,0.0949886782281724,1.0,ATTACK,0,0,0,0,20957064739,2894236092,16274332,5880435,5,4.666666666666667,0.071,0.0446666666666666,0.0349618840072061,0,10485760,1,4,0
0,1,1,0,5,5,1.0,50,0.0,53.541116699430674,0.0186772346496582,0.0168039798736572,0.0251796245574951,0.029856538772583,0.006142193929719,1.0,NORMAL,0,0,0,0,20957085732,2894256143,16274425,5880572,5,4.666666666666667,0.081,0.07,0.0115325625946707,0,18874368,0,5,0
0,1,1,0,5,5,1.0,50,0.0,67.00101915956077,0.0149251461029052,0.0157723426818847,0.0202665328979492,0.0214509963989257,0.0048149460837118,1.0,NORMAL,0,0,0,0,20957089164,2894267047,16274478,5880664,5,5.0,0.064,0.072,0.0085440037453174,0,23068672,0,5,0
0,1,1,0,5,5,1.0,50,0.0,73.84988115150982,0.0135409832000732,0.0137279033660888,0.0145139217376708,0.0149055671691894,0.0011458022361123,1.0,NORMAL,0,0,0,0,20957092776,2894278681,16274534,5880761,5,5.0,0.064,0.0696666666666666,0.0098149545762236,0,23068672,0,5,0
0,1,1,0,5,5,1.0,50,0.0,57.75050944539296,0.0173158645629882,0.0132627487182617,0.0258214950561523,0.0277906227111816,0.0067597369284859,1.0,NORMAL,0,0,0,0,20957095908,2894288959,16274582,5880847,5,5.0,0.004,0.0439999999999999,0.0346410161513775,0,23068672,0,5,0
0,1,1,0,5,5,1.0,50,0.0,88.64976370230718,0.011280345916748,0.0114328861236572,0.0123702526092529,0.0129084968566894,0.0009998274913666,1.0,NORMAL,0,0,0,0,20957099253,2894299728,16274633,5880937,5,5.0,0.005,0.0243333333333333,0.0343559795862865,0,23068672,0,5,0
0,1,1,0,5,5,1.0,50,0.0,101.21878469038082,0.0098795890808105,0.0098838806152343,0.0106502056121826,0.0110512065887451,0.0007765132148697,1.0,NORMAL,0,0,0,0,20957102445,2894310246,16274682,5881023,5,5.0,0.005,0.0046666666666666,0.0005773502691933,0,23068672,0,5,0
0,1,1,0,5,5,1.0,50,0.0,88.04275452671529,0.0113581180572509,0.0112864971160888,0.0123425006866455,0.0125422286987304,0.000867182414238,1.0,NORMAL,0,0,0,0,20957105577,2894321000,16274730,5881111,5,5.0,0.005,0.005,0.0,0,23068672,0,5,0
0,1,1,0,5,5,1.0,50,0.0,59.596128379568846,0.016779613494873,0.0148601531982421,0.0242041110992431,0.0290766334533691,0.0066538794242187,1.0,NORMAL,0,0,0,0,20957109153,2894332260,16274784,5881205,5,5.0,0.005,0.005,0.0,0,23068672,0,5,0
0,1,1,0,5,5,1.0,50,0.0,68.12363364680277,0.0146791934967041,0.0117311477661132,0.0220466613769531,0.0272466278076171,0.0066768190501353,1.0,NORMAL,0,0,0,0,20957112285,2894342634,16274832,5881291,5,5.0,0.005,0.005,0.0,0,24117248,0,5,0
0,1,1,0,5,5,1.0,50,0.0,78.91060832395782,0.0126725673675537,0.0124638080596923,0.0149022579193115,0.0149559879302978,0.0019583267599988,1.0,NORMAL,0,0,0,0,20957115630,2894353401,16274883,5881380,5,5.0,0.005,0.005,0.0,0,24117248,0,5,0
0,1,1,0,5,5,1.0,50,0.0,85.27365287965779,0.011726951599121,0.0106785297393798,0.0137460231781005,0.0140095233917236,0.0016202919310578,1.0,NORMAL,0,0,0,0,20957119062,2894364791,16274936,5881476,5,5.0,0.005,0.005,0.0,0,24117248,0,5,0
0,1,1,0,5,5,1.0,50,0.0,62.79725472816778,0.0159242630004882,0.0118587017059326,0.0237599372863769,0.0255700206756591,0.0062229226789801,1.0,NORMAL,0,0,0,0,20957122588,2894375315,16274984,5881564,5,5.0,0.005,0.005,0.0,0,24117248,0,5,0
0,1,1,0,1,1,1.0,50,0.0,10.73753918764141,0.0931312084197998,0.0971717834472656,0.1293595790863037,0.1349882698059082,0.0343569596385858,1.0,ATTACK,0,0,0,0,20957191278,2894586463,16275944,5883242,1,1.0,0.001,0.001,0.0,0,5242880,0,1,0
0,1,1,0,1,1,1.0,50,0.0,11.860981500019795,0.0843100547790527,0.0795843601226806,0.1281866073608398,0.1421461963653564,0.0395047594952071,1.0,ATTACK,0,0,0,0,20957194650,2894598613,16275996,5883336,1,1.0,0.001,0.001,0.0,0,5242880,0,1,0
0,1,1,0,1,2,0.5,50,0.0,11.013302706282277,0.0907992839813232,0.0850703716278076,0.1158307075500488,0.1326154994964599,0.0231152233196947,1.0,ATTACK,0,0,0,0,20957198175,2894610948,16276050,5883432,2,1.3333333333333333,0.022,0.008,0.0121243556529821,0,5242880,1,1,0
0,1,1,0,1,2,0.5,50,0.0,10.99991817535232,0.0909097671508789,0.1115696430206298,0.1234578132629394,0.1270726585388183,0.0358683356231866,1.0,ATTACK,0,0,0,0,20957219046,2894630279,16276141,5883562,2,1.6666666666666667,0.069,0.0306666666666666,0.0348185774168522,0,5242880,0,2,0
